gene location;strand;Ensembl ID;Gene Symbol;sum direct regulation score (-16..0..16);sum direct target (0..16);Literature (Table S1);Wei 2006 5-FU HCT116;Smeenk 2011 Actinomycin D U2OS ;Smeenk 2011 etoposide U2OS ;Nikulenkov 2012 Nutlin-3a MCF-7;Menendez 2013 Nutlin-3a U2OS;Menendez 2013 doxorubicin U2OS;Schlereth 2013 p53 SAOS-2;Allen 2014 Nutlin-3a HCT116;Janky 2014 iRegulon Nutlin-3a MCF-7;McDade 2014 cisplatin HFK;McDade 2014 doxorubicin HFK;Wang 2014 5-FU HCT116;Rashi-Elkeles 2014 IR CAL51;Chang 2014 mix HCT116;Younger 2015 doxorubicin fibroblasts;Fischer 2016 meta-analysis;Literature (Table S1);Wei 2006 5-FU HCT116;Smeenk 2011 Actinomycin D U2OS ;Smeenk 2011 etoposide U2OS ;Nikulenkov 2012 Nutlin-3a MCF-7;Menendez 2013 Nutlin-3a U2OS;Menendez 2013 doxorubicin U2OS;Schlereth 2013 p53 SAOS-2;Allen 2014 Nutlin-3a HCT116;Janky 2014 Nutlin-3a iRegulon MCF-7;McDade 2014 cisplatin HFK;McDade 2014 doxorubicin HFK;Wang 2014 5-FU HCT116;Rashi-Elkeles 2014 IR CAL51;Chang 2014 mix HCT116;Younger 2015 doxorubicin fibroblasts;Fischer 2016 meta-analysis;p53 ChIP 25kb sum (0..15);p53 ChIP 5kb sum (0..15);p53 ChIP 2.5kb sum (0..15);p53 Expression Score (-20..0..20)
chr5:76011867-76031595;+;ENSG00000181104;F2R;1;3;down;---;up;---;---;---;---;---;---;---;---;---;up;---;---;---;---;-1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;8;8;0;0
chr12:42475647-42538673;-;ENSG00000151233;GXYLT1;1;3;---;---;---;---;---;---;---;up;---;---;down;---;up;---;---;---;---;0;0;0;0;0;0;0;1;0;0;-1;0;1;0;0;0;0;2;2;2;7
chr17:43224683-43229468;+;ENSG00000186834;HEXIM1;1;3;---;---;up;---;down;---;---;---;---;---;---;---;---;---;---;---;up;0;0;1;0;-1;0;0;0;0;0;0;0;0;0;0;0;1;10;5;5;7
chr1:149856009-149858232;-;ENSG00000184678;HIST2H2BE;1;3;---;---;---;---;---;---;---;---;---;---;down;---;---;---;---;up;up;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;1;1;7;4;4;8
chr10:91092238-91100725;+;ENSG00000119917;IFIT3;1;3;---;---;---;---;---;---;---;---;---;---;up;down;up;---;---;---;---;0;0;0;0;0;0;0;0;0;0;1;-1;1;0;0;0;0;1;1;1;4
chr1:234740014-234745271;-;ENSG00000168264;IRF2BP2;1;3;up;---;---;---;up;---;---;---;---;---;---;---;---;---;---;down;---;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;-1;0;15;3;1;1
chr2:102314164-102511152;+;ENSG00000071054;MAP4K4;1;3;up;---;down;---;up;---;---;---;---;---;---;---;---;---;---;---;---;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;15;1;1;4
chr5:1798498-1799956;-;ENSG00000171421;MRPL36;1;3;---;---;---;---;---;---;---;---;---;---;down;---;---;---;up;up;---;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;1;1;0;10;1;1;3
chr2:206547223-206662857;+;ENSG00000118257;NRP2;1;3;---;---;---;---;---;---;---;---;---;---;---;up;up;---;---;down;---;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;-1;0;13;10;1;2
chr14:73704204-73741347;+;ENSG00000100767;PAPLN;1;3;---;---;---;---;---;up;up;---;---;---;---;down;---;---;---;---;---;0;0;0;0;0;1;1;0;0;0;0;-1;0;0;0;0;0;2;0;0;8
chr3:135684514-135866752;+;ENSG00000073711;PPP2R3A;1;3;---;---;---;---;up;---;---;---;---;---;down;up;---;---;---;---;---;0;0;0;0;1;0;0;0;0;0;-1;1;0;0;0;0;0;8;8;8;3
chr17:38465422-38513895;+;ENSG00000131759;RARA;1;3;down;---;---;---;up;---;---;---;---;---;---;---;---;---;up;---;---;-1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;5;5;2;-3
chr6:10396915-10415470;-;ENSG00000137203;TFAP2A;1;3;up;---;---;---;---;---;---;---;---;---;down;---;up;---;---;---;---;1;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;11;3;3;4
chr20:55204357-55214338;+;ENSG00000087510;TFAP2C;1;3;up;---;---;---;down;---;---;---;---;---;---;---;up;---;---;---;---;1;0;0;0;-1;0;0;0;0;0;0;0;1;0;0;0;0;3;3;3;4
chr10:80828791-81076285;+;ENSG00000108175;ZMIZ1;1;3;---;---;down;---;---;---;---;---;---;---;---;up;up;---;---;---;---;0;0;-1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;3;1;1;-4
chr6:30710975-30712327;-;ENSG00000137331;IER3;1;2;up/down;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;up;x;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;6;6;6
chr17:75277491-75496678;+;ENSG00000184640;40057;1;1;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;---;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;10;10;3
chr22:43088126-43116876;-;ENSG00000128274;A4GALT;1;1;---;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;1
chr20:34824446-34844853;+;ENSG00000131043;AAR2;1;1;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;2;2;0
chr16:8768443-8878432;+;ENSG00000183044;ABAT;1;1;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;---;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;0;7
chr4:419603-467998;-;ENSG00000251595;ABCA11P;1;1;---;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;-2
chr12:123413538-123451056;-;ENSG00000150967;ABCB9;1;1;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;---;---;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;14;2;2;6
chr10:101542462-101611662;+;ENSG00000023839;ABCC2;1;1;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4
chr17:48712217-48769063;+;ENSG00000108846;ABCC3;1;1;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;---;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;3;0;5
chr1:94883932-94984219;+;ENSG00000117528;ABCD3;1;1;---;---;---;---;---;---;---;---;---;---;---;---;---;---;up;---;---;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;6;0;-1
chr21:43639266-43717354;+;ENSG00000160179;ABCG1;1;1;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;3;3;3
chr4:89011415-89080011;-;ENSG00000118777;ABCG2;1;1;---;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;1;1;3
chr11:119019749-119033374;+;ENSG00000172350;ABCG4;1;1;---;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;3
chr17:27887688-27894042;-;ENSG00000168792;ABHD15;1;1;---;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;8
chr9:74477367-74526148;-;ENSG00000107362;ABHD17B;1;1;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;up;---;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;0;0;3
chr3:43732374-43764217;+;ENSG00000011198;ABHD5;1;1;---;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;3
chr3:58223258-58280461;+;ENSG00000163686;ABHD6;1;1;---;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;3
chr17:43213013-43221543;+;ENSG00000181513;ACBD4;1;1;---;---;up;---;---;---;---;---;---;---;---;---;---;---;---;---;---;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;3;5
chr10:27484142-27529808;-;ENSG00000107897;ACBD5;1;1;---;---;---;---;---;---;---;---;---;---;---;---;---;---;up;---;---;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;9;9;9;2
chr19:11685474-11689801;-;ENSG00000102575;ACP5;1;1;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;3
chr1:147119167-147142634;-;ENSG00000162836;ACP6;1;1;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;---;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;3;3;7
chr5:131285666-131347355;-;ENSG00000164398;ACSL6;1;1;---;---;---;---;---;---;up;---;---;---;---;---;---;---;---;---;---;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;3;1;3
chr2:148602569-148688393;+;ENSG00000121989;ACVR2A;1;1;---;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;-2
chr2:207308367-207482679;+;ENSG00000114948;ADAM23;1;1;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;7
chr15:79051544-79103773;-;ENSG00000136378;ADAMTS7;1;1;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;---;---;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8
chr17:29248753-29286211;+;ENSG00000184060;ADAP2;1;1;---;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;5
chr21:46494492-46646478;+;ENSG00000197381;ADARB1;1;1;---;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;1;1
chr8:145597730-145618453;+;ENSG00000173137;ADCK5;1;1;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;3;3;3
chr7:45614124-45762714;+;ENSG00000164742;ADCY1;1;1;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;-1
chr1:32192717-32229648;-;ENSG00000121753;ADGRB2;1;1;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;up;---;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;14;2;2;2
chr20:37209837-37217104;+;ENSG00000182035;ADIG;1;1;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;---;---;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0
chr20:60878026-60883918;+;ENSG00000130706;ADRM1;1;1;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;3
chr2:100163715-100722045;-;ENSG00000144218;AFF3;1;1;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;---;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;1;0
chr11:47681142-47736928;-;ENSG00000165923;AGBL2;1;1;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;2
chr1:955502-991499;+;ENSG00000188157;AGRN;1;1;---;---;---;---;---;---;---;up;---;---;---;---;---;---;---;---;---;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;1;1;9
chr1:230838271-230850336;-;ENSG00000135744;AGT;1;1;up;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr3:148415657-148460790;+;ENSG00000144891;AGTR1;1;1;up;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2
chr1:11796141-11810828;+;ENSG00000177674;AGTRAP;1;1;---;---;---;---;---;---;---;up;---;---;---;---;---;---;---;---;---;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;7
chrX:129263337-129299861;-;ENSG00000156709;AIFM1;1;1;up;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;3;0
chr14:96858447-96955112;+;ENSG00000140057;AK7;1;1;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1
chr3:125822407-125899485;-;ENSG00000144908;ALDH1L1;1;1;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;4
chr1:19197923-19229293;-;ENSG00000159423;ALDH4A1;1;1;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;---;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;3;0;8
chr5:125877532-125931082;-;ENSG00000164904;ALDH7A1;1;1;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;4;3;4
chr13:52586522-52607736;+;ENSG00000253710;ALG11;1;1;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0
chr15:85359910-85416713;+;ENSG00000136383;ALPK3;1;1;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;---;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2
chr3:46710484-46735194;-;ENSG00000178038;ALS2CL;1;1;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;---;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;9
chr5:33987090-34008220;-;ENSG00000242110;AMACR;1;1;---;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1
chrX:63404996-63425624;-;ENSG00000184675;AMER1;1;1;---;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3
chr10:61786055-62149634;-;ENSG00000151150;ANK3;1;1;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;---;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;3
chr11:113258512-113271140;+;ENSG00000170209;ANKK1;1;1;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;12;12;2;0
chr12:101188373-101522419;+;ENSG00000151572;ANO4;1;1;---;---;---;---;---;---;---;up;---;---;---;---;---;---;---;---;---;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1
chr9:75766780-75785307;+;ENSG00000135046;ANXA1;1;1;up;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0
chr8:124693033-124749647;-;ENSG00000104537;ANXA13;1;1;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;1
chr4:79472741-79531605;+;ENSG00000138772;ANXA3;1;1;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;---;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;1;-4
chr7:100797685-100804557;+;ENSG00000106367;AP1S1;1;1;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;up;---;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;4;4;3
chr2:21224300-21266945;-;ENSG00000084674;APOB;1;1;up;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
chr12:7801995-7818502;-;ENSG00000111701;APOBEC1;1;1;up;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;0
chr6:41020939-41032630;+;ENSG00000124701;APOBEC2;1;1;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;3
chr22:39436924-39483748;+;ENSG00000239713;APOBEC3G;1;1;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;12;0;0;2
chr17:58520519-58603580;-;ENSG00000062725;APPBP2;1;1;---;---;---;---;up;---;---;---;---;---;---;---;---;---;---;---;---;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11;11;4;3
chr11:77300679-77321401;+;ENSG00000178301;AQP11;1;1;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
chr20:47538274-47653230;+;ENSG00000124198;ARFGEF2;1;1;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;6;6;9
chr10:49654078-49813138;-;ENSG00000128805;ARHGAP22;1;1;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;13;5;3;5
chr12:15094949-15114562;-;ENSG00000111348;ARHGDIB;1;1;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;---;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
chr2:131672785-131804836;+;ENSG00000136002;ARHGEF4;1;1;---;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;3
chrX:135747711-135863503;-;ENSG00000129675;ARHGEF6;1;1;---;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2
chr5:53180613-53606403;-;ENSG00000185305;ARL15;1;1;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;---;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;5
chr22:51061181-51066601;-;ENSG00000100299;ARSA;1;1;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;10
chr10:51946999-52008370;-;ENSG00000188611;ASAH2;1;1;---;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;-3
chr17:79935425-79975282;+;ENSG00000169696;ASPSCR1;1;1;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;1;0;-2
chr9:133320093-133376661;+;ENSG00000130707;ASS1;1;1;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;---;---;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;1;1;2
chr16:10522724-10577495;+;ENSG00000166669;ATF7IP2;1;1;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;9;1;1;3
chr5:81267843-81551216;+;ENSG00000152348;ATG10;1;1;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;-4
chr13:25254548-25285923;+;ENSG00000075673;ATP12A;1;1;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0
chr3:10365706-10547268;-;ENSG00000157087;ATP2B2;1;1;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;---;---;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;3
chr20:57603732-57607422;-;ENSG00000124172;ATP5E;1;1;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;up;---;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3
chr1:111991742-112004525;+;ENSG00000116459;ATP5F1;1;1;---;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
chr7:99014361-99063824;-;ENSG00000248919;ATP5J2-PTCD1;1;1;---;---;---;---;up;---;---;---;---;---;---;---;---;---;---;---;---;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;0
chr14:67804580-67826720;-;ENSG00000100554;ATP6V1D;1;1;---;---;---;---;up;---;---;---;---;---;---;---;---;---;---;---;---;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;3;3;5
chr13:25946208-26595420;+;ENSG00000132932;ATP8A2;1;1;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;---;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3
chr1:28562601-28564616;+;ENSG00000130770;ATPIF1;1;1;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;up;---;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;10;4;0;5
chr18:29202208-29264686;-;ENSG00000118276;B4GALT6;1;1;---;---;---;up;---;---;---;---;---;---;---;---;---;---;---;---;---;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3
chr11:117156401-117186972;-;ENSG00000186318;BACE1;1;1;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2;2;11
chr6:33540322-33548070;-;ENSG00000030110;BAK1;1;1;up;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;12
chr10:28966423-28971868;+;ENSG00000095739;BAMBI;1;1;---;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;2;2;3
chr14:74486058-74532796;+;ENSG00000119636;BBOF1;1;1;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;1
chr7:33169151-33645680;+;ENSG00000122507;BBS9;1;1;---;up;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
chr20:49411466-49493714;+;ENSG00000124243;BCAS4;1;1;---;---;---;---;---;---;---;up;---;---;---;---;---;---;---;---;---;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;4;2;0
chr1:85731459-85742587;-;ENSG00000142867;BCL10;1;1;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;4;4;8
chr2:111878490-111926022;+;ENSG00000153094;BCL2L11;1;1;---;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;2;0;2
chr12:12223877-12252627;+;ENSG00000121380;BCL2L14;1;1;up;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;1;1;2
chr19:45251977-45263301;+;ENSG00000069399;BCL3;1;1;---;---;---;---;up;---;---;---;---;---;---;---;---;---;---;---;---;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;9;3;2;8
chr11:118766850-118781613;-;ENSG00000186174;BCL9L;1;1;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;6;6;6
chr16:81272295-81324747;+;ENSG00000135697;BCO1;1;1;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;---;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3
chr14:96671134-96710666;+;ENSG00000168398;BDKRB2;1;1;up;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;3;2;0
chr20:17474549-17512013;-;ENSG00000125864;BFSP1;1;1;---;---;---;up;---;---;---;---;---;---;---;---;---;---;---;---;---;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;1
chr1:156211950-156213123;+;ENSG00000242252;BGLAP;1;1;---;---;---;---;---;---;---;up;---;---;---;---;---;---;---;---;---;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;1;1;1
chr9:95473644-95527083;-;ENSG00000185963;BICD2;1;1;---;up;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2
chr10:97951454-98031333;-;ENSG00000095585;BLNK;1;1;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;---;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;1;7
chr1:39957317-39995541;+;ENSG00000183682;BMP8A;1;1;---;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0
chr1:40223902-40254533;-;ENSG00000116985;BMP8B;1;1;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;1
chr8:26240522-26270644;+;ENSG00000104765;BNIP3L;1;1;up;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chr11:66104803-66112582;-;ENSG00000174744;BRMS1;1;1;---;---;---;---;---;---;---;---;---;---;---;---;---;---;up;---;---;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;7;4;2;3
chrX:79924986-80065233;-;ENSG00000165288;BRWD3;1;1;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;---;---;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
chr1:45274153-45279801;+;ENSG00000222009;BTBD19;1;1;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;up;---;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;15;3;3;6
chr11:111338255-111383079;-;ENSG00000137707;BTG4;1;1;---;---;---;---;---;---;---;---;---;---;---;up;---;---;---;---;---;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;14;14;14;2
